55	 262	 85
61	 251	 88
71	 259	 73
67	 235	 86
66	 245	 81
73	 297	 87
91	 275	 65
76	 292	 80
84	 319	 83
90	 350	 87
77	 225	 81
99	 274	 62
93	 307	 67
89	 268	 69
81	 297	 83
89	 202	 79
104	 318	 53
82	 216	 83
89	 303	 73
86	 211	 86
103	 247	 63
99	 287	 64
110	 331	 54
102	 296	 64
86	 293	 79
102	 321	 76
116	 327	 57
115	 296	 54
118	 323	 55
115	 247	 53
114	 308	 65
116	 258	 62
120	 355	 69
116	 220	 58
119	 267	 58
114	 306	 74
124	 220	 70
101	 250	 76
126	 242	 46
123	 183	 89
121	 359	 77
131	 288	 35
134	 312	 29
133	 332	 54
134	 358	 46
133	 262	 44
125	 355	 83
138	 349	 55
137	 230	 40
142	 351	 56
140	 308	 37
140	 346	 46
144	 335	 29
144	 303	 23
136	 393	 94
141	 198	 81
148	 346	 64
144	 281	 58
146	 307	 41
148	 343	 61
141	 401	 98
133	 264	 71
149	 325	 72
147	 294	 54
153	 356	 60
150	 290	 37
150	 357	 48
154	 341	 74
146	 191	 69
152	 315	 56
158	 359	 55
152	 205	 47
153	 220	 48
156	 317	 63
158	 347	 61
160	 343	 25
154	 229	 63
158	 260	 44
165	 357	 69
159	 291	 55
166	 327	 20
166	 358	 56
166	 352	 37
167	 359	 53
164	 218	 38
161	 177	 78
165	 314	 56
170	 271	 41
171	 360	 49
171	 260	 23
171	 318	 40
172	 228	 35
176	 309	 20
169	 176	 73
177	 353	 25
167	 178	 57
175	 268	 56
175	 194	 48
177	 178	 83
181	 310	 30
183	 288	 15
176	 263	 73
187	 283	 20
186	 341	 30
187	 283	 38
184	 201	 47
180	 203	 70
189	 360	 53
189	 356	 44
189	 344	 76
189	 293	 67
194	 372	 78
193	 348	 53
194	 361	 75
188	 182	 78
186	 206	 63
197	 359	 80
189	 176	 67
200	 279	 24
199	 290	 16
200	 299	 20
199	 330	 36
201	 233	 34
200	 341	 80
201	 250	 26
201	 332	 86
198	 266	 60
202	 257	 30
196	 171	 58
206	 243	 39
206	 324	 32
207	 332	 80
208	 330	 36
206	 355	 40
207	 231	 24
206	 340	 70
207	 298	 67
207	 300	 73
210	 332	 42
213	 272	 27
207	 310	 78
209	 319	 65
209	 326	 65
212	 341	 80
216	 304	 28
210	 333	 61
210	 176	 61
218	 297	 25
212	 180	 49
217	 193	 35
219	 318	 71
230	 196	 41
228	 301	 74
253	 173	 54
278	 184	 45
279	 168	 53
285	 270	 23
285	 189	 36
285	 338	 75
287	 213	 30
282	 315	 89
293	 324	 75
293	 231	 35
293	 352	 42
296	 329	 48
297	 166	 58
295	 335	 64
293	 352	 54
292	 366	 65
294	 323	 27
297	 189	 34
297	 284	 20
293	 354	 84
303	 187	 50
301	 186	 38
301	 301	 75
302	 222	 30
296	 351	 83
299	 354	 73
306	 208	 30
306	 261	 39
306	 338	 37
304	 359	 57
304	 331	 26
309	 358	 45
313	 374	 41
313	 262	 19
318	 275	 34
315	 280	 19
320	 195	 45
317	 263	 27
319	 345	 40
326	 170	 61
314	 327	 82
328	 175	 63
321	 196	 34
318	 302	 14
323	 353	 37
322	 365	 56
323	 336	 29
327	 208	 37
324	 328	 76
331	 188	 50
334	 195	 59
336	 217	 55
329	 362	 54
334	 366	 45
339	 202	 54
351	 261	 75
335	 338	 41
337	 295	 71
335	 301	 27
340	 259	 43
334	 324	 23
337	 276	 21
341	 250	 43
338	 264	 21
340	 301	 60
342	 208	 40
340	 287	 27
339	 357	 70
344	 351	 50
342	 293	 24
353	 226	 63
341	 385	 64
346	 284	 62
349	 226	 34
349	 316	 52
347	 359	 55
351	 220	 43
373	 267	 74
355	 242	 48
354	 317	 47
363	 195	 66
352	 353	 68
363	 205	 65
352	 377	 83
351	 173	 88
359	 339	 57
358	 330	 71
355	 365	 71
367	 287	 71
367	 208	 51
367	 269	 66
370	 215	 63
365	 291	 59
366	 316	 61
364	 186	 80
400	 259	 78
369	 221	 47
368	 296	 67
368	 313	 62
367	 323	 66
371	 216	 81
375	 207	 54
368	 357	 44
375	 213	 77
377	 216	 72
373	 310	 64
379	 226	 72
381	 215	 54
377	 286	 52
378	 320	 76
379	 225	 44
388	 273	 76
376	 318	 50
395	 262	 76
377	 304	 40
380	 292	 49
384	 253	 68
379	 201	 80
384	 291	 68
382	 269	 33
387	 294	 48
391	 225	 70
388	 299	 45
382	 348	 76
388	 334	 52
395	 244	 52
391	 191	 88
395	 278	 62
392	 328	 65
396	 264	 75
394	 274	 40
406	 254	 79
393	 312	 67
399	 218	 87
400	 214	 74
399	 287	 60
395	 348	 80
398	 327	 66
400	 316	 47
404	 302	 59
406	 206	 87
408	 273	 73
413	 240	 79
414	 329	 81
416	 296	 72
421	 243	 81
416	 284	 77
